Code,Name,,,
4A2,Computational Fluid Dynamics,,,
4A3,Turbomachinery I,,,
4A4,Aircraft Stability and Control,,,
4A7,Aircraft Aerodynamics and Design,,,
4A9,Molecular Thermodynamics,,,
4A12,Turbulence and Vortex Dynamics,,,
4A13,Combustion and Engines,,,
4A15,Aeroacoustics,,,
4B2,Power Microelectronics,,,
4B5,Quantum and Nano-technologies,,,
4B11,Photonic Systems,,,
4B13,Electronic Sensors and Instrumentation,,,
4B19,Renewable Electrical Power,,,
4B23,Optical Fibre Communication,,,
4B24,Radio Frequency Systems,,,
4B25,Embedded Systems for the Internet of Things,,,
4C2,Designing with Composites,,,
4C3,Advanced Functional Materials and Devices,,,
4C4,Design Methods,,,
4C5,Design Case Studies,,,
4C6,Advanced Linear Vibrations,,,
4C7,Random and Non-Linear Vibrations,,,
4C8,Vehicle Dynamics,,,
4C9,Continuum Mechanics,,,
4C15,MEMS: Design,,,
4D4,Construction Engineering,,,
4D5,Foundation Engineering,,,
4D6,Dynamics in Civil Engineering,,,
4D7,Concrete and Prestressed Concrete,,,
4D9,Offshore Geotechnical Engineering,,,
4D10,Structural Steelwork,,,
4D13,Architectural Engineering,,,
4D14,Contaminated Land & Waste Containment,,,
4D15,Management of Resilient Water Systems,,,
4E1,Innovation and Strategic Management of Intellectual,,,
4E3,Business Innovation in a Digital Age,,,
4E4,Management of Technology,,,
4E6,Accounting and Finance,,,
4E11,Strategic Management,,,
4E12,Project Management,,,
4F1,Control System Design,,,
4F2,Robust and Nonlinear Control,,,
4F3,An Optimisation Based Approach to Control,,,
4F5,Advanced Information Theory and Coding,,,
4F7,Statistical Signal Analysis,,,
4F8,Image Processing and Image Coding,,,
4F10,Deep Learning and Structured data,,,
4F12,Computer Vision,,,
4F13,Probabilistic  Machine Learning,,,
4F14,Computer Systems,,,
4G3,Computational Neuroscience,,,
4G4,Biomimetics,,,
4G5,"Materials and Molecules: Modelling, Simulation and
Machine Learning",,,
4I1,Strategic Valuation (TPE25),,,
4I8,Medical Physics,,,
4I10,Nuclear Reactor Engineering,,,
4I11,Advanced Fission and Fusion Systems,,,
4I14,Biosensors and Bioelectronics,,,
4I15,Mobile Robot Systems,,,
4M1,French,,,
4M2,German,,,
4M3,Spanish,,,
4M12,Partial Differential Equations & Variational Methods,,,
4M16,Nuclear Power Engineering,,,
4M17,Practical Optimization,,,
4M20,Robotics,,,
4M21,Software Engineering and Design,,,
4M22,Climate Change Mitigation,,,
4M23,Electricity and Environment (TPE22),,,
4M24,Computational Statistics and Machine Learning,,,
