Date,Time,Room,Code
Mon 20 Apr am,9.30-11.10,LT1,4F8
,,,3G5
,9.30-11.10,LT2,3B5
,,,4A12
,9.30-12.40,LR3,3A1
,,LR3B,3A1
,,,
Mon 20 Apr pm,14:00-15:40,LT1,3G3
,,,3D4
,,LT2,3B4
,,,4B2
,,,4G6
,,,
Tue 21 Apr am,09:30-11:10,LT1,3F1
,,LT2,3F1
,,,4B24
,,LR3,3C7
MET IIB P1,09:00-12:10,IfM,
,,,
Tue 21 Apr pm,14:00-15:40,LT1,4F7
,,,4D7
,,LT2,3C5
,,LR3,4A3
,,,3C5
,,LR3B,4C6
,,,
Wed 22 Apr am,09:30-11:10,LT1,3M1
,,LT2,4D5
,,,3M1
,09:30-11:10,LR3,4C3
MET IIB P2,09:00-12:10,IfM,
,,,
Wed 22 Apr pm,14:00-15:40,LT1,3D7
,,,3F8
,,,4I10
,,,NE2
,,LT2,3F8
,,LR3,4F1
,,,4B11
,,,
LECTURES BEGIN,,,
Thu 23 April am,09:30-11:10,LT1,3F7
,,LT2,3F7
,,,3C1
,,LR3,4C8
,09:00-10:30,Physics,4I8
MET IIA P1,09:00-10:40,IfM,
,,,
Thu 23 Apr pm,14:00-15:40,LT1,3C8
,,,3D8
,,,4D9
,,LT2,3B1
,,,4A13
,,LR3,4F14
,,,
Fri 24 Apr am,09:30-11:10,LT1,4A9
,,,3G2
,,,4D14
,,LT2,3B2
,,,3A6
MET IIA P2,09:00-10.40,IfM,
,,,
Fri 24 Apr pm,14:00-15:40,LT1,4M16
,,,
,,,NE1
,,LT2,4M12
,,,4B13
,,,
Mon 27 April am,09:30-11:10,LT1,3B6
,,,4C2
,,,NE3
,,LR3,4B21
,,,4D10
,,,
MET IIA P3,09:00-12.10,IfM,
,,,
Mon 27 April pm,14:00-15.40,LT1,3G4
,,,4F2
,,LT2,4M21
,,,3D2
,,LR3,4C9
,,,
Tue 28 April am,09:30-11:10,LT1,3F4
,,LT2,4F3
,,,4A10
,,LR3,3C6
,,LR3B,3C6
MET IIA P4,09:00-12:10,IfM,
,,,
Tue 28 April pm,14:00-15:40,LT1,4D6
,,,4B23
,,,3B3
,,LR3,3D3
,,,
Wed 29 April am,9:30-12:40,LT1,3A3
,9.30-11.10,LT2,3F3
,,LR3,3D1
,,,3F3
,,LR3B,4C7
MET IIA P5,09:00-12:10,IfM,
,,,
Wed 29 April pm,14:00-15:40,LT1,3F2
,,LT2,4F10
,,LR3,4F10
,,,3C9
,,,
Thu 30 April am,09:30-11:10,LT1,E1
,,LT2,E11
,,,E1
,,,E2
,,,NE4
,,LR3,4F5
MET IIA P6,09:00-10:40,IfM,
,,,
Thu 30 April pm,14:00-15:40,LT1,E3
,,LT2,E3
,,,E6
,,,4B5
,,LR3,E10
,,,4B5
,,,
Fri 1 May am,09:30-11:10,LR3,3D5
,09:30-11:40,LR3B,FPP1
,,,
Fri 1 May pm,14:00-15:40,LT1,4F12
,,LT2,3G1
,,,4C4
,,LR3,3A5
,,LR3B,4B19
,,,4F12
