Date,Time,Code,,
Mon 26 Apr am,9.00-10.40,4F8,,
,,3G5,,
,,3B5,,
,,4C15,,
,9.00-12.10,3A1,,
Mon 26 Apr pm,13.30-15.10,4F12,,
,,3F1,,
Tue 27 Apr am,09:00-10:40,4B24,,
,,3C7,,
,,,,
Tue 27 Apr pm,13:30-15:10,4F7,,
,,4D7,,
,,3C8,,
,,3B1,,
,,4A3,,
,,4C6,,
Wed 28 Apr am,09:00-10:40,3G4,,
,,3D2,,
,,4D5,,
,,4C3,,
,,,,
Wed 28 Apr pm,13:30-15:10,3D7,,
,,3F8,,
,,4I10,,
,,NE2,,
,,4F1,,
,,4B11,,
,,4C7,,
,,,,
Thu 29 April am,09:00-10:40,3F7,,
,,3C1,,
,,4A12,,
,,4B5,,
,,,,
Thu 29 Apr pm,13:30-15:10,3C5,,
,,4C8,,
,14.00-15.30,4I8,,
Fri 30 Apr am,09:00-10:40,4A9,,
,,4D14,,
,,3F4,,
,,3C6,,
,,,,
Fri 30 Apr pm,13:30-15:10,4M16,,
,,,,
,,NE1,,
,,4M12,,
,,4B13,,
Mon 3 May am,09:00-10:40,3B6,,
,,3D8,,
,,4C2,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,NE3,,
,,4D10,,
Mon 3 May pm,13:30-15.10,3M1,,
,,4M21,,
,,4C9,,
Tue 4 May am,09:00-10:40,3G2,,
,,4F3,,
,,4A15,,
,,3B2,,
,,3A6,,
,,,,
Tue 4 May pm,13:30-15:10,4D6,,
,,4B23,,
,,3B3,,
,,3D3,,
Wed 5 May am,9:00-12:10,3A3,,
,9.00-10.40,3F3,,
,,3D1,,
,,,,
Wed 5 May pm,13.30-15.10,4F10,,
,,4B2,,
Thu 6 May am,09:00-10:40,3E11,,
,,3E6,,
,,3E2,,
,,NE4,,
,,4F5,,
,,,,
Thu 6 May pm,13:30-15:10,3E3,,
,,3E1,,
,,3E10,,
Fri 7 May am,09:00-10:40,3D5,,
,,4D9,,
,,4A13,,
,,4F14,,
,09:00-11:10,FPP1,,
,,,,
Fri 7 May pm,13:30-15:10,3G1,,
,,4C4,,
,,3A5,,
,,4B19,,
,,4M24,,
Mon 10 May am,9.00-10.40,3G3,,
,,3D4,,
,,3B4,,
Mon 10 May pm,13.30-15.10,3F2,,
,,3C9,,
,,,,
,,,,
